BLACK SPOTS IDENTIFIED BY THE STATE IN CALENDER YEAR 2025 IN RESPECT OF HYDERABAD CITY.,,,,,,,,,,,,,,
NAME OF DISTRICT/UNIT: HYDERABAD CITY,,,,,,,,,,,,,,
SL. NO.,Zone,NAME OF JURISDICTIONAL POLICE STATION,NH / SH / MDR / OR. No.,,LIMITS OF HIGH ACCIDENT PRONE LOCATION,,NUMBER OF ACCIDENTS,,,,NUMBER OF FATALITIES,,,
31,Rajendranagar,Chandrayangutta,Other Road,(Bandlaguda X Road) Bandlaguda PS to Highway Restaurent,,,9,3,5,17,5,3,5,13
32,Rajendranagar,Chandrayangutta,Other Road,"(Omer Hotel, Baba Nagar) Omer Hotel to Poolbagh",,,3,3,3,9,1,1,3,5
33,Golconda,Golconda,Other Road,(Ramdevguda Signal) ( Sarvatra sports Complex to Ayurvedic Hospital,,,3,0,5,8,3,0,3,6
34,Golconda,Langer House,Other Road,(Laxmi Nagar) ( Pillar No. 65 Gudimalkapur Pelicon Signal to Mytri Hospital Crystal building),,,2,2,1,5,2,0,1,3
35,Golconda,Langer House,Other Road,"Pillar No. 100 to 116, Mogal ka Naala",,,7,2,0,9,5,1,0,6
36,Golconda,Langer House,Other Road,(Langer House Dargah / Military Hospital) (Langer House Dargah to Panchakhana Masjid near Military Hospital),,,4,1,1,6,3,1,1,5
37,Secunderabad,Mahankali,Other Road,Plaza X Road near Parade Ground (Plaz to SBI X Road),,,2,1,2,5,0,0,2,2
38,Secunderabad,Nallakunta,Other Road,Vidaya Nagar X Road (Vidya Nagar X Road to Papaji Dhaba),,,3,2,3,8,1,1,2,4
39,Secunderabad,Nallakunta,Other Road,Tilak Nagar RUB Fever Hospital to wards Bhatukamma kunta Signal),,,2,5,0,7,1,1,0,2
40,Secunderabad,O U Sity,Other Road,Habsiguda X Road ( Street No. 8 to Habsiguda Fire Station,,,6,5,6,17,6,2,4,12
41,Secunderabad,O U Sity,Other Road,Tarnaka X Road (Tarnaka X Road to habsiguda Fire Station),,,9,3,3,15,7,2,1,10
42,Secunderabad,Lallaguda,Other Road,Mettuguda X Road (Mettuguda metro Station to Alugadda Bavi X Road),,,3,1,4,8,2,1,3,6
43,Secunderabad,OU Sity,Other Road,Adikmet (Non Teaching Function Hall OU to Ramalayam),,,1,3,2,6,1,3,1,5
44,Khairathabad,Sultan Bazar,Other Road,( Womens College) Andhra Bank Koti to DMHS Signal,0.3,0.9,2,3,0,5,1,2,0,3
45,Charminar,Santosh Nagar,Other Road,(Pisalbanda X Road) Pisalbanda X road to Owais Hospital,,,2,6,0,8,0,5,0,5
46,Jubilee Hills,Banjara Hills,Other Road,Masab Tank,,,3,1,5,9,0,0,2,2
47,Jubilee Hills,Jubilee Hills,Other Road,(Jubilee Hills Check Post) Jubilee Hills Check Post to chiranjeevi Blood Bank,,,3,6,1,10,1,1,0,2
48,Jubilee Hills,Banjara Hills,Other Road,(KBR Park) Park hyatt Hotel to Basavatarakam Hospital,,,4,1,0,5,3,0,,3
49,Jubilee Hills,Banjara Hills,Other Road,"(TV 9 Office, Rd. No. 3) Indian Oil Petrol Pump to Mountain Bakery",,,1,2,2,5,2,1,1,4
